address,city,state,postal_code,price,facts and features,real estate provider,url,title,property_info,img,zestimate,daysOnZillow,rentZestimate,lat,long,saves,views
"25827 Strath Haven Dr, Novi, MI 48374",Novi,MI,48374,370000.0,"4 bds, 3.0 ba ,2577 sqft",Coldwell Banker Weir Manuel-Northville,https://www.zillow.com/homedetails/25827-Strath-Haven-Dr-Novi-MI-48374/70865648_zpid/,House for sale,"{'zpid': 70865648, 'streetAddress': '25827 Strath Haven Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.477219, 'longitude': -83.514047, 'price': 370000.0, 'dateSold': 1386230400000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2577.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 31, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISfkcbpo171zgt1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 370002, 'rentZestimate': 2500, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-3pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISfkcbpo171zgt1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 370000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598212800000, 'open_house_end': 1598220000000}]}, 'timeOnZillow': 1597753020000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISfkcbpo171zgt1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISfkcbpo171zgt1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISfkcbpo171zgt1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISfkcbpo171zgt1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISfkcbpo171zgt1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISfkcbpo171zgt1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 286400.0}",https://photos.zillowstatic.com/p_e/ISfkcbpo171zgt1000000000.jpg,370002,2,2500.0,42.477219,-83.51404699999999,177,"3,032"
"50739 Sevilla Cir, Novi, MI 48374",Novi,MI,48374,550000.0,"4 bds, 3.0 ba ,2986 sqft",Max Broock,https://www.zillow.com/homedetails/50739-Sevilla-Cir-Novi-MI-48374/303956323_zpid/,House for sale,"{'zpid': 303956323, 'streetAddress': '50739 Sevilla Cir', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.487245, 'longitude': -83.548595, 'price': 550000.0, 'dateSold': 1568185200000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2986.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 30, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISf4gbnkdz3xi91000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 8330, 'zestimate': 550003, 'rentZestimate': 2750, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISf4gbnkdz3xi91000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 550000.0, 'timeOnZillow': 1597773780000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISf4gbnkdz3xi91000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISf4gbnkdz3xi91000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISf4gbnkdz3xi91000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISf4gbnkdz3xi91000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISf4gbnkdz3xi91000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISf4gbnkdz3xi91000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 482500.0}",https://photos.zillowstatic.com/p_e/ISf4gbnkdz3xi91000000000.jpg,550003,2,2750.0,42.487245,-83.54859499999999,31,821
"23633 Hickory Grove Ln, Novi, MI 48375",Novi,MI,48375,410000.0,"4 bds, 4.0 ba ,2440 sqft",Century 21 Curran & Oberski,https://www.zillow.com/homedetails/23633-Hickory-Grove-Ln-Novi-MI-48375/24551904_zpid/,House for sale,"{'zpid': 24551904, 'streetAddress': '23633 Hickory Grove Ln', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.462879, 'longitude': -83.484187, 'price': 410000.0, 'dateSold': 1052895600000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2440.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 25, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS3jzembfsbqzx0000000000.jpg', 'daysOnZillow': 4, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 405066, 'rentZestimate': 2500, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS3jzembfsbqzx0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 410000.0, 'timeOnZillow': 1597616040000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS3jzembfsbqzx0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS3jzembfsbqzx0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS3jzembfsbqzx0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS3jzembfsbqzx0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS3jzembfsbqzx0000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS3jzembfsbqzx0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 364400.0}",https://photos.zillowstatic.com/p_e/IS3jzembfsbqzx0000000000.jpg,405066,4,2500.0,42.462879,-83.484187,72,"1,818"
"22134 Clover Ln, Novi, MI 48375",Novi,MI,48375,349900.0,"4 bds, 3.0 ba ,2300 sqft",Century 21 Town & Country,https://www.zillow.com/homedetails/22134-Clover-Ln-Novi-MI-48375/24556063_zpid/,House for sale,"{'zpid': 24556063, 'streetAddress': '22134 Clover Ln', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.450265, 'longitude': -83.447226, 'price': 349900.0, 'dateSold': 1085468400000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2300.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 29, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISv4fz68u0sk3t1000000000.jpg', 'daysOnZillow': 7, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 349619, 'rentZestimate': 2299, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sat. 1-4pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISv4fz68u0sk3t1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 349900.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598126400000, 'open_house_end': 1598137200000}]}, 'timeOnZillow': 1597338900000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISv4fz68u0sk3t1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISv4fz68u0sk3t1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISv4fz68u0sk3t1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISv4fz68u0sk3t1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISv4fz68u0sk3t1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISv4fz68u0sk3t1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 291100.0}",https://photos.zillowstatic.com/p_e/ISv4fz68u0sk3t1000000000.jpg,349619,7,2299.0,42.450265,-83.447226,60,"2,646"
"24321 Fairway Hills Dr, Novi, MI 48374",Novi,MI,48374,329900.0,"3 bds, 2.0 ba ,1720 sqft",Professional One Real Estate,https://www.zillow.com/homedetails/24321-Fairway-Hills-Dr-Novi-MI-48374/24547700_zpid/,House for sale,"{'zpid': 24547700, 'streetAddress': '24321 Fairway Hills Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.4669, 'longitude': -83.502118, 'price': 329900.0, 'dateSold': 1375945200000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1720.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 32, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISj711pup7vjm40000000000.jpg', 'daysOnZillow': 7, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 329814, 'rentZestimate': 2100, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISj711pup7vjm40000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 329900.0, 'timeOnZillow': 1597348560000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISj711pup7vjm40000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISj711pup7vjm40000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISj711pup7vjm40000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISj711pup7vjm40000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISj711pup7vjm40000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISj711pup7vjm40000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 229600.0}",https://photos.zillowstatic.com/p_e/ISj711pup7vjm40000000000.jpg,329814,7,2100.0,42.4669,-83.50211800000001,62,"2,228"
"51128 E Bourne Ter, Novi, MI 48374",Novi,MI,48374,369900.0,"3 bds, 3.0 ba ,2208 sqft",RE/MAX Classic,https://www.zillow.com/homedetails/51128-E-Bourne-Ter-Novi-MI-48374/80175973_zpid/,House for sale,"{'zpid': 80175973, 'streetAddress': '51128 E Bourne Ter', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.493073, 'longitude': -83.550988, 'price': 369900.0, 'dateSold': 1507215600000, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2208.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 28, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISv4fjmhrb2n501000000000.jpg', 'daysOnZillow': 15, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 365468, 'rentZestimate': 2450, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISv4fjmhrb2n501000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 369900.0, 'timeOnZillow': 1596657480000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISv4fjmhrb2n501000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISv4fjmhrb2n501000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISv4fjmhrb2n501000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISv4fjmhrb2n501000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISv4fjmhrb2n501000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISv4fjmhrb2n501000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 301800.0}",https://photos.zillowstatic.com/p_e/ISv4fjmhrb2n501000000000.jpg,365468,15,2450.0,42.493072999999995,-83.550988,168,"4,919"
"26250 Fieldstone Dr, Novi, MI 48374",Novi,MI,48374,415000.0,"4 bds, 4.0 ba ,2754 sqft",Century 21 Curran & Oberski,https://www.zillow.com/homedetails/26250-Fieldstone-Dr-Novi-MI-48374/59993571_zpid/,Condo for sale,"{'zpid': 59993571, 'streetAddress': '26250 Fieldstone Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.481808, 'longitude': -83.542208, 'price': 415000.0, 'dateSold': 1542096000000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2754.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'photoCount': 36, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISrldayeglw2p10000000000.jpg', 'daysOnZillow': 1, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 410000, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISrldayeglw2p10000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 415000.0, 'timeOnZillow': 1597809900000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISrldayeglw2p10000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISrldayeglw2p10000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISrldayeglw2p10000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISrldayeglw2p10000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISrldayeglw2p10000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISrldayeglw2p10000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 377900.0}",https://photos.zillowstatic.com/p_e/ISrldayeglw2p10000000000.jpg,410000,1,2600.0,42.481808,-83.542208,11,551
"23805 Wintergreen Cir, Novi, MI 48374",Novi,MI,48374,514900.0,"3 bds, 4.0 ba ,3285 sqft",Keller Williams Advantage,https://www.zillow.com/homedetails/23805-Wintergreen-Cir-Novi-MI-48374/24552734_zpid/,House for sale,"{'zpid': 24552734, 'streetAddress': '23805 Wintergreen Cir', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.461518, 'longitude': -83.505591, 'price': 514900.0, 'dateSold': 1562828400000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 3285.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 35, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISjzy9ghrlkf1j1000000000.jpg', 'daysOnZillow': 6, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 15050, 'zestimate': 508378, 'rentZestimate': 3100, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISjzy9ghrlkf1j1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 514900.0, 'timeOnZillow': 1597434300000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISjzy9ghrlkf1j1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISjzy9ghrlkf1j1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISjzy9ghrlkf1j1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISjzy9ghrlkf1j1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISjzy9ghrlkf1j1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISjzy9ghrlkf1j1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 586700.0}",https://photos.zillowstatic.com/p_e/ISjzy9ghrlkf1j1000000000.jpg,508378,6,3100.0,42.461518,-83.50559100000001,42,"1,611"
"45738 Galway Dr, Novi, MI 48374",Novi,MI,48374,449900.0,"4 bds, 3.0 ba ,2536 sqft",National Realty Centers-Northville,https://www.zillow.com/homedetails/45738-Galway-Dr-Novi-MI-48374/24554171_zpid/,House for sale,"{'zpid': 24554171, 'streetAddress': '45738 Galway Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.445947, 'longitude': -83.497068, 'price': 449900.0, 'dateSold': 1062486000000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2536.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 54, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS37idwc1c0o011000000000.jpg', 'daysOnZillow': 7, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 444176, 'rentZestimate': 2600, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS37idwc1c0o011000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 449900.0, 'timeOnZillow': 1597361400000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS37idwc1c0o011000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS37idwc1c0o011000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS37idwc1c0o011000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS37idwc1c0o011000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS37idwc1c0o011000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS37idwc1c0o011000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 366700.0}",https://photos.zillowstatic.com/p_e/IS37idwc1c0o011000000000.jpg,444176,7,2600.0,42.445947,-83.497068,84,"1,788"
"24742 Apple Crest Dr, Novi, MI 48375",Novi,MI,48375,349900.0,"3 bds, 2.0 ba ,2264 sqft",,https://www.zillow.com/homedetails/24742-Apple-Crest-Dr-Novi-MI-48375/24548610_zpid/,For sale by owner,"{'zpid': 24548610, 'streetAddress': '24742 Apple Crest Dr', 'zipcode': '48375', 'city': 'Novi', 'state': 'MI', 'latitude': 42.471503, 'longitude': -83.46566, 'price': 349900.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 2264.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 51, 'imageLink': 'https://photos.zillowstatic.com/p_g/ISvgg0e7i5kbsm0000000000.jpg', 'daysOnZillow': 11, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'zestimate': 303613, 'rentZestimate': 2000, 'listing_sub_type': {'is_FSBO': True, 'is_openHouse': True}, 'openHouse': 'Sun. 1-4pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/ISvgg0e7i5kbsm0000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 349900.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598212800000, 'open_house_end': 1598223600000}]}, 'timeOnZillow': 1596992160000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/ISvgg0e7i5kbsm0000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/ISvgg0e7i5kbsm0000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/ISvgg0e7i5kbsm0000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/ISvgg0e7i5kbsm0000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/ISvgg0e7i5kbsm0000000000.jpg', 'videoCount': 1, 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/ISvgg0e7i5kbsm0000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 261000.0}",https://photos.zillowstatic.com/p_e/ISvgg0e7i5kbsm0000000000.jpg,303613,11,2000.0,42.471503000000006,-83.46566,66,"2,646"
"Arcadia Dr, Novi, MI 48374",Novi,MI,48374,539000.0,"4 bds, 4.0 ba ,2900 sqft",RE/MAX Platinum,https://www.zillow.com/homedetails/25666-Arcadia-Dr-Novi-MI-48374/24547065_zpid/,Coming soon,"{'zpid': 24547065, 'streetAddress': 'Arcadia Dr', 'zipcode': '48374', 'city': 'Novi', 'state': 'MI', 'latitude': 42.475195, 'longitude': -83.500317, 'price': 539000.0, 'dateSold': 751705200000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2900.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'photoCount': 54, 'imageLink': 'https://photos.zillowstatic.com/p_g/IS3vkrjqkwrmrp1000000000.jpg', 'daysOnZillow': 2, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 13886, 'zestimate': 479230, 'rentZestimate': 2700, 'listing_sub_type': {'is_openHouse': True, 'is_comingSoon': True}, 'openHouse': 'Sun. 12-3pm', 'isUnmappable': False, 'mediumImageLink': 'https://photos.zillowstatic.com/p_c/IS3vkrjqkwrmrp1000000000.jpg', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 539000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1598209200000, 'open_house_end': 1598220000000}]}, 'comingSoonOnMarketDate': 1597993200000, 'timeOnZillow': 1597758600000, 'hiResImageLink': 'https://photos.zillowstatic.com/p_f/IS3vkrjqkwrmrp1000000000.jpg', 'watchImageLink': 'https://photos.zillowstatic.com/p_j/IS3vkrjqkwrmrp1000000000.jpg', 'tvImageLink': 'https://photos.zillowstatic.com/p_m/IS3vkrjqkwrmrp1000000000.jpg', 'tvCollectionImageLink': 'https://photos.zillowstatic.com/p_l/IS3vkrjqkwrmrp1000000000.jpg', 'tvHighResImageLink': 'https://photos.zillowstatic.com/p_n/IS3vkrjqkwrmrp1000000000.jpg', 'desktopWebHdpImageLink': 'https://photos.zillowstatic.com/p_h/IS3vkrjqkwrmrp1000000000.jpg', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 493100.0}",https://photos.zillowstatic.com/p_e/IS3vkrjqkwrmrp1000000000.jpg,479230,2,2700.0,42.475195,-83.50031700000001,56,"1,113"
